,connaissance_marche,tolerance_risque,objectif_investissement,situation_patrimoniale,horizon,temps_disponible,mode_gestion
0,30.0,50.0,20.0,90.0,15.0,10.0,10.0
1,35.0,45.0,26.0,75.0,20.0,10.0,0.0
2,25.0,60.0,30.0,75.0,5.0,10.0,0.0
3,35.0,70.0,30.0,75.0,10.0,10.0,0.0
4,20.0,25.0,20.0,75.0,5.0,10.0,10.0
5,50.0,30.0,20.0,75.0,10.0,10.0,0.0
6,30.0,25.0,25.0,75.0,5.0,10.0,0.0
7,27.0,15.0,20.0,75.0,5.0,10.0,0.0
8,10.0,15.0,30.0,75.0,5.0,10.0,0.0
9,30.0,45.0,20.0,75.0,10.0,10.0,0.0
10,35.0,45.0,20.0,75.0,5.0,10.0,0.0
11,25.0,40.0,20.0,75.0,5.0,5.0,0.0
12,10.0,15.0,20.0,90.0,5.0,10.0,0.0
13,30.0,45.0,25.0,90.0,5.0,10.0,0.0
14,30.0,30.0,30.0,90.0,20.0,10.0,0.0
15,30.0,25.0,20.0,75.0,5.0,10.0,0.0
16,25.0,25.0,20.0,75.0,5.0,10.0,0.0
17,30.0,45.0,26.0,150.0,15.0,10.0,10.0
18,10.0,35.0,25.0,90.0,5.0,15.0,0.0
19,35.0,60.0,30.0,75.0,5.0,10.0,0.0
20,35.0,25.0,20.0,75.0,10.0,10.0,0.0
21,40.0,25.0,20.0,75.0,10.0,10.0,0.0
22,35.0,47.0,31.0,90.0,20.0,10.0,0.0
23,35.0,47.0,31.0,90.0,20.0,10.0,0.0
24,30.0,50.0,30.0,75.0,15.0,10.0,0.0
25,45.0,50.0,45.0,75.0,10.0,10.0,0.0
26,30.0,40.0,30.0,90.0,5.0,10.0,0.0
27,25.0,30.0,30.0,150.0,5.0,10.0,5.0
28,30.0,30.0,20.0,225.0,10.0,10.0,0.0
29,30.0,45.0,50.0,90.0,15.0,10.0,0.0
30,25.0,35.0,30.0,75.0,10.0,10.0,0.0
31,27.0,25.0,30.0,225.0,5.0,10.0,0.0
32,35.0,45.0,55.0,75.0,20.0,10.0,0.0
33,35.0,40.0,26.0,75.0,5.0,10.0,0.0
34,35.0,55.0,55.0,75.0,15.0,10.0,15.0
35,45.0,60.0,20.0,75.0,5.0,10.0,0.0
36,20.0,47.0,31.0,75.0,5.0,10.0,0.0
37,25.0,65.0,30.0,150.0,10.0,10.0,10.0
38,55.0,75.0,55.0,75.0,10.0,10.0,10.0
39,20.0,60.0,55.0,75.0,20.0,10.0,5.0
40,30.0,45.0,30.0,75.0,10.0,10.0,0.0
41,40.0,45.0,45.0,75.0,5.0,10.0,0.0
42,20.0,45.0,35.0,90.0,5.0,10.0,0.0
43,20.0,45.0,26.0,75.0,5.0,10.0,10.0
44,35.0,45.0,31.0,75.0,5.0,10.0,0.0
45,45.0,70.0,46.0,75.0,10.0,10.0,0.0
46,45.0,60.0,55.0,75.0,20.0,10.0,15.0
47,30.0,45.0,25.0,90.0,5.0,10.0,0.0
48,50.0,35.0,40.0,75.0,5.0,10.0,0.0
49,30.0,45.0,26.0,75.0,10.0,10.0,0.0
50,30.0,40.0,20.0,75.0,5.0,10.0,0.0
51,25.0,30.0,30.0,150.0,10.0,10.0,0.0
52,30.0,30.0,20.0,150.0,10.0,10.0,0.0
53,50.0,45.0,40.0,75.0,10.0,10.0,10.0
54,15.0,15.0,20.0,150.0,5.0,10.0,0.0
55,55.0,25.0,20.0,75.0,5.0,10.0,0.0
56,30.0,42.0,30.0,90.0,20.0,10.0,0.0
57,30.0,60.0,20.0,75.0,15.0,10.0,0.0
58,30.0,65.0,25.0,75.0,15.0,10.0,0.0
59,50.0,75.0,30.0,75.0,5.0,10.0,0.0
60,20.0,30.0,20.0,150.0,5.0,10.0,0.0
61,40.0,50.0,20.0,75.0,5.0,15.0,0.0
62,20.0,25.0,20.0,150.0,5.0,5.0,0.0
63,30.0,50.0,26.0,75.0,20.0,10.0,0.0
64,25.0,50.0,50.0,75.0,10.0,10.0,0.0
65,40.0,50.0,50.0,75.0,10.0,15.0,0.0
66,25.0,30.0,30.0,90.0,10.0,10.0,0.0
67,40.0,55.0,46.0,75.0,15.0,10.0,15.0
68,40.0,55.0,26.0,75.0,5.0,10.0,0.0
69,25.0,60.0,35.0,75.0,10.0,10.0,0.0
70,35.0,75.0,55.0,75.0,10.0,10.0,0.0
71,40.0,75.0,26.0,90.0,20.0,15.0,0.0
72,15.0,40.0,50.0,75.0,15.0,10.0,0.0
73,40.0,67.0,31.0,90.0,5.0,10.0,0.0
74,40.0,90.0,40.0,75.0,20.0,10.0,0.0
75,50.0,35.0,25.0,75.0,5.0,10.0,0.0
76,55.0,70.0,20.0,90.0,5.0,10.0,0.0
77,45.0,35.0,40.0,75.0,5.0,10.0,0.0
78,30.0,20.0,20.0,75.0,5.0,10.0,0.0
79,35.0,60.0,35.0,75.0,5.0,10.0,5.0
80,35.0,25.0,30.0,75.0,5.0,10.0,0.0
81,30.0,30.0,35.0,75.0,5.0,10.0,10.0
82,45.0,10.0,25.0,75.0,10.0,10.0,0.0
83,20.0,30.0,30.0,75.0,5.0,10.0,0.0
84,20.0,25.0,25.0,75.0,5.0,10.0,0.0
85,25.0,45.0,15.0,75.0,10.0,10.0,0.0
86,25.0,45.0,30.0,150.0,10.0,10.0,0.0
87,35.0,45.0,55.0,75.0,5.0,10.0,0.0
88,45.0,50.0,40.0,75.0,10.0,10.0,10.0
89,25.0,60.0,30.0,90.0,5.0,10.0,0.0
90,20.0,45.0,30.0,75.0,15.0,10.0,0.0
91,40.0,67.0,31.0,90.0,5.0,10.0,0.0
92,40.0,67.0,31.0,90.0,5.0,10.0,0.0
93,40.0,67.0,20.0,75.0,10.0,10.0,0.0
94,20.0,30.0,30.0,150.0,15.0,10.0,0.0
95,20.0,35.0,10.0,75.0,20.0,10.0,0.0
96,25.0,45.0,30.0,90.0,10.0,10.0,0.0
97,45.0,55.0,20.0,75.0,20.0,10.0,0.0
98,35.0,55.0,20.0,75.0,20.0,10.0,0.0
99,25.0,30.0,20.0,75.0,20.0,10.0,0.0
100,30.0,30.0,25.0,75.0,5.0,10.0,0.0
101,35.0,30.0,25.0,75.0,5.0,10.0,0.0
102,45.0,50.0,10.0,75.0,20.0,10.0,0.0
103,40.0,45.0,31.0,75.0,10.0,10.0,15.0
104,25.0,30.0,15.0,75.0,5.0,10.0,0.0
105,35.0,45.0,30.0,75.0,10.0,10.0,0.0
106,40.0,55.0,30.0,75.0,20.0,10.0,0.0
107,30.0,40.0,20.0,90.0,15.0,10.0,0.0
108,45.0,50.0,30.0,75.0,10.0,10.0,0.0
109,40.0,40.0,20.0,75.0,5.0,10.0,0.0
110,45.0,30.0,30.0,75.0,10.0,10.0,10.0
111,20.0,45.0,30.0,75.0,10.0,10.0,10.0
112,40.0,60.0,30.0,75.0,15.0,10.0,0.0
113,20.0,45.0,30.0,75.0,10.0,10.0,10.0
114,25.0,40.0,30.0,90.0,10.0,10.0,10.0
115,25.0,40.0,26.0,75.0,20.0,5.0,10.0
116,35.0,45.0,25.0,75.0,10.0,10.0,0.0
117,5.0,15.0,26.0,75.0,10.0,10.0,0.0
118,30.0,40.0,30.0,75.0,5.0,10.0,0.0
119,35.0,55.0,20.0,75.0,20.0,10.0,0.0
120,20.0,45.0,30.0,75.0,10.0,10.0,0.0
121,35.0,50.0,20.0,75.0,15.0,10.0,0.0
122,40.0,55.0,50.0,75.0,5.0,10.0,0.0
123,35.0,15.0,30.0,150.0,5.0,10.0,0.0
124,35.0,65.0,21.0,90.0,10.0,10.0,0.0
125,30.0,50.0,35.0,75.0,20.0,15.0,0.0
126,35.0,70.0,30.0,75.0,10.0,10.0,0.0
127,30.0,60.0,45.0,75.0,10.0,10.0,0.0
128,30.0,40.0,30.0,75.0,5.0,10.0,0.0
129,25.0,50.0,30.0,75.0,20.0,10.0,0.0
130,25.0,55.0,25.0,90.0,10.0,10.0,10.0
131,20.0,45.0,25.0,75.0,10.0,10.0,0.0
132,20.0,45.0,55.0,75.0,10.0,10.0,0.0
133,30.0,40.0,30.0,75.0,10.0,10.0,0.0
134,20.0,40.0,20.0,150.0,10.0,15.0,0.0
135,30.0,30.0,35.0,75.0,10.0,10.0,0.0
136,30.0,20.0,35.0,75.0,10.0,10.0,0.0
137,40.0,45.0,30.0,75.0,20.0,10.0,0.0
138,45.0,50.0,25.0,75.0,5.0,10.0,10.0
139,45.0,30.0,50.0,75.0,5.0,10.0,0.0
140,30.0,45.0,25.0,90.0,20.0,10.0,0.0
141,10.0,25.0,20.0,75.0,10.0,10.0,0.0
142,30.0,45.0,30.0,75.0,15.0,15.0,0.0
143,30.0,50.0,30.0,75.0,10.0,10.0,0.0
144,40.0,50.0,30.0,75.0,10.0,10.0,0.0
145,35.0,50.0,30.0,75.0,10.0,10.0,0.0
146,30.0,45.0,36.0,75.0,15.0,10.0,0.0
147,40.0,65.0,31.0,225.0,10.0,10.0,0.0
148,35.0,45.0,30.0,75.0,5.0,10.0,0.0
149,30.0,45.0,30.0,75.0,10.0,10.0,0.0
150,30.0,50.0,10.0,75.0,20.0,10.0,0.0
151,55.0,55.0,25.0,75.0,10.0,10.0,0.0
152,20.0,25.0,30.0,75.0,10.0,10.0,0.0
153,55.0,50.0,35.0,75.0,15.0,10.0,0.0
154,40.0,50.0,20.0,75.0,10.0,10.0,0.0
155,35.0,65.0,50.0,75.0,10.0,10.0,0.0
156,25.0,45.0,30.0,90.0,15.0,10.0,0.0
157,30.0,60.0,30.0,75.0,10.0,10.0,0.0
158,30.0,47.0,30.0,90.0,20.0,10.0,0.0
159,30.0,65.0,25.0,150.0,5.0,10.0,0.0
160,40.0,50.0,20.0,75.0,15.0,10.0,0.0
161,25.0,50.0,25.0,75.0,10.0,10.0,0.0
162,30.0,30.0,35.0,150.0,20.0,5.0,0.0
163,30.0,70.0,30.0,75.0,10.0,10.0,5.0
164,20.0,50.0,30.0,75.0,20.0,10.0,0.0
165,30.0,35.0,25.0,225.0,15.0,10.0,15.0
166,40.0,55.0,20.0,75.0,15.0,10.0,0.0
167,40.0,67.0,31.0,90.0,5.0,10.0,0.0
168,30.0,45.0,30.0,90.0,10.0,10.0,0.0
169,25.0,50.0,30.0,75.0,20.0,10.0,0.0
170,20.0,50.0,10.0,75.0,5.0,10.0,0.0
171,30.0,45.0,30.0,225.0,15.0,15.0,0.0
172,55.0,70.0,30.0,75.0,20.0,10.0,0.0
173,30.0,30.0,30.0,75.0,10.0,10.0,0.0
174,35.0,50.0,30.0,90.0,10.0,10.0,10.0
175,25.0,50.0,30.0,75.0,10.0,10.0,0.0
176,20.0,37.0,35.0,75.0,10.0,10.0,0.0
177,40.0,70.0,30.0,75.0,5.0,10.0,15.0
178,45.0,50.0,30.0,75.0,10.0,10.0,0.0
179,20.0,60.0,51.0,90.0,20.0,10.0,5.0
180,40.0,65.0,30.0,150.0,15.0,10.0,0.0
181,30.0,60.0,15.0,75.0,10.0,10.0,0.0
182,30.0,55.0,30.0,225.0,10.0,10.0,5.0
183,20.0,50.0,20.0,90.0,10.0,10.0,0.0
184,35.0,50.0,30.0,75.0,10.0,10.0,5.0
185,25.0,65.0,50.0,75.0,5.0,10.0,0.0
186,25.0,70.0,50.0,75.0,5.0,10.0,0.0
187,25.0,70.0,50.0,75.0,5.0,10.0,0.0
188,35.0,55.0,35.0,90.0,10.0,5.0,0.0
189,30.0,35.0,20.0,75.0,20.0,10.0,10.0
190,35.0,65.0,55.0,75.0,10.0,10.0,0.0
191,25.0,65.0,30.0,75.0,5.0,10.0,0.0
192,45.0,60.0,20.0,75.0,10.0,10.0,0.0
193,25.0,60.0,30.0,75.0,20.0,10.0,0.0
194,40.0,60.0,40.0,225.0,20.0,10.0,0.0
195,45.0,70.0,30.0,75.0,15.0,10.0,15.0
196,40.0,70.0,45.0,150.0,15.0,10.0,0.0
197,10.0,65.0,36.0,75.0,10.0,10.0,10.0
198,30.0,60.0,26.0,90.0,20.0,10.0,0.0
199,25.0,65.0,30.0,90.0,20.0,15.0,0.0
200,30.0,60.0,20.0,75.0,20.0,10.0,0.0
201,55.0,45.0,30.0,75.0,5.0,10.0,0.0
202,35.0,65.0,50.0,75.0,5.0,10.0,0.0
203,35.0,65.0,60.0,75.0,10.0,10.0,0.0
204,25.0,65.0,50.0,90.0,5.0,10.0,0.0
205,45.0,75.0,40.0,75.0,20.0,15.0,0.0
206,35.0,35.0,25.0,75.0,5.0,10.0,0.0
207,20.0,45.0,20.0,75.0,5.0,10.0,5.0
208,30.0,50.0,30.0,75.0,15.0,10.0,15.0
209,40.0,45.0,31.0,90.0,5.0,10.0,0.0
210,55.0,70.0,25.0,225.0,5.0,15.0,0.0
211,35.0,50.0,20.0,75.0,5.0,10.0,0.0
212,50.0,60.0,20.0,75.0,10.0,10.0,0.0
213,40.0,55.0,20.0,75.0,5.0,10.0,0.0
214,45.0,60.0,35.0,75.0,10.0,10.0,0.0
215,20.0,30.0,40.0,75.0,15.0,10.0,0.0
216,30.0,45.0,26.0,90.0,10.0,10.0,0.0
217,30.0,50.0,30.0,75.0,10.0,10.0,0.0
218,20.0,60.0,25.0,75.0,10.0,10.0,0.0
219,30.0,60.0,65.0,90.0,10.0,15.0,15.0
220,40.0,35.0,15.0,75.0,5.0,10.0,0.0
221,20.0,45.0,30.0,75.0,15.0,10.0,0.0
222,40.0,75.0,25.0,75.0,15.0,10.0,0.0
223,20.0,20.0,25.0,225.0,5.0,10.0,0.0
224,30.0,25.0,35.0,75.0,10.0,15.0,0.0
225,25.0,20.0,35.0,75.0,10.0,10.0,0.0
226,30.0,30.0,25.0,90.0,10.0,10.0,10.0
227,30.0,25.0,30.0,75.0,15.0,10.0,0.0
228,20.0,45.0,15.0,75.0,5.0,10.0,10.0
229,40.0,67.0,31.0,90.0,5.0,10.0,0.0
230,20.0,50.0,30.0,75.0,10.0,10.0,0.0
231,20.0,35.0,26.0,75.0,10.0,10.0,0.0
232,20.0,47.0,26.0,75.0,10.0,10.0,0.0
233,20.0,35.0,26.0,75.0,10.0,10.0,0.0
234,20.0,35.0,26.0,75.0,10.0,10.0,0.0
235,20.0,35.0,26.0,75.0,10.0,10.0,0.0
236,30.0,12.0,26.0,75.0,10.0,15.0,0.0
237,25.0,12.0,26.0,90.0,10.0,15.0,0.0
238,25.0,12.0,26.0,75.0,10.0,15.0,0.0
239,25.0,12.0,26.0,75.0,10.0,15.0,0.0
240,40.0,50.0,25.0,75.0,5.0,5.0,0.0
241,25.0,45.0,25.0,75.0,5.0,5.0,0.0
242,25.0,60.0,31.0,90.0,5.0,10.0,0.0
243,30.0,25.0,20.0,75.0,10.0,10.0,0.0
244,25.0,12.0,26.0,75.0,10.0,15.0,0.0
245,20.0,30.0,30.0,75.0,15.0,10.0,0.0
246,20.0,15.0,30.0,75.0,10.0,10.0,0.0
247,30.0,25.0,30.0,225.0,5.0,10.0,0.0
248,55.0,25.0,30.0,75.0,10.0,10.0,0.0
249,30.0,25.0,26.0,90.0,5.0,5.0,0.0
250,35.0,45.0,30.0,90.0,20.0,10.0,0.0
251,50.0,50.0,46.0,75.0,5.0,10.0,0.0
252,55.0,40.0,30.0,75.0,15.0,10.0,0.0
253,35.0,25.0,30.0,150.0,15.0,10.0,0.0
254,30.0,45.0,30.0,225.0,15.0,15.0,0.0
255,20.0,45.0,30.0,75.0,5.0,10.0,0.0
256,20.0,35.0,20.0,75.0,20.0,10.0,0.0
257,20.0,45.0,30.0,75.0,15.0,10.0,10.0
258,35.0,65.0,30.0,150.0,20.0,10.0,0.0
259,40.0,35.0,10.0,75.0,20.0,10.0,0.0
260,30.0,75.0,30.0,75.0,15.0,10.0,0.0
261,35.0,30.0,20.0,150.0,5.0,10.0,0.0
262,25.0,30.0,20.0,75.0,10.0,10.0,10.0
263,40.0,30.0,25.0,75.0,10.0,10.0,15.0
264,30.0,35.0,45.0,75.0,10.0,10.0,15.0
265,45.0,35.0,30.0,75.0,10.0,10.0,0.0
266,30.0,50.0,26.0,90.0,10.0,10.0,0.0
267,30.0,55.0,30.0,75.0,15.0,10.0,0.0
268,35.0,50.0,30.0,150.0,20.0,10.0,0.0
269,55.0,85.0,40.0,75.0,5.0,10.0,0.0
270,40.0,80.0,30.0,75.0,10.0,10.0,15.0
271,35.0,70.0,50.0,75.0,10.0,10.0,0.0
272,45.0,85.0,60.0,75.0,15.0,15.0,15.0
273,20.0,60.0,30.0,75.0,10.0,10.0,0.0
274,30.0,60.0,26.0,75.0,15.0,10.0,0.0
275,35.0,45.0,30.0,75.0,20.0,10.0,0.0
276,20.0,45.0,26.0,90.0,10.0,10.0,0.0
277,45.0,35.0,20.0,75.0,10.0,10.0,0.0
278,35.0,40.0,30.0,75.0,15.0,10.0,0.0
279,35.0,55.0,50.0,75.0,5.0,10.0,0.0
280,30.0,60.0,20.0,75.0,15.0,10.0,10.0
281,25.0,50.0,35.0,75.0,10.0,10.0,0.0
282,25.0,27.0,20.0,90.0,10.0,10.0,0.0
283,25.0,35.0,25.0,75.0,5.0,5.0,0.0
284,27.0,55.0,30.0,90.0,10.0,10.0,5.0
285,20.0,60.0,26.0,90.0,10.0,10.0,0.0
286,20.0,55.0,15.0,150.0,15.0,10.0,0.0
287,55.0,65.0,40.0,90.0,5.0,10.0,0.0
288,35.0,40.0,30.0,75.0,5.0,10.0,10.0
289,35.0,35.0,30.0,75.0,5.0,10.0,0.0
290,20.0,35.0,26.0,75.0,10.0,10.0,0.0
291,25.0,27.0,20.0,90.0,10.0,10.0,0.0
292,30.0,30.0,20.0,225.0,10.0,10.0,0.0
293,40.0,60.0,46.0,75.0,20.0,10.0,10.0
294,20.0,30.0,20.0,75.0,5.0,10.0,0.0
295,15.0,47.0,25.0,150.0,5.0,10.0,0.0
296,35.0,30.0,30.0,90.0,20.0,10.0,0.0
297,40.0,20.0,21.0,90.0,10.0,10.0,0.0
298,25.0,30.0,25.0,75.0,5.0,5.0,0.0
299,20.0,35.0,30.0,90.0,20.0,10.0,0.0
300,35.0,65.0,30.0,75.0,10.0,15.0,10.0
301,30.0,45.0,35.0,75.0,10.0,10.0,5.0
302,20.0,27.0,20.0,75.0,5.0,10.0,0.0
303,50.0,35.0,20.0,75.0,5.0,10.0,0.0
304,25.0,30.0,25.0,75.0,5.0,10.0,0.0
305,20.0,15.0,25.0,75.0,20.0,10.0,0.0
306,25.0,30.0,26.0,225.0,10.0,15.0,10.0
307,20.0,30.0,50.0,90.0,10.0,10.0,0.0
308,25.0,45.0,35.0,75.0,5.0,10.0,0.0
309,30.0,50.0,35.0,75.0,10.0,10.0,0.0
310,20.0,45.0,26.0,75.0,10.0,10.0,0.0
311,25.0,35.0,30.0,75.0,20.0,10.0,0.0
312,30.0,30.0,30.0,75.0,20.0,10.0,0.0
313,30.0,45.0,30.0,75.0,10.0,10.0,0.0
314,20.0,45.0,30.0,75.0,10.0,10.0,0.0
315,20.0,30.0,20.0,75.0,10.0,10.0,0.0
316,30.0,50.0,26.0,75.0,20.0,10.0,0.0
317,25.0,35.0,11.0,225.0,15.0,15.0,0.0
318,35.0,35.0,31.0,90.0,10.0,5.0,0.0
319,50.0,75.0,50.0,75.0,10.0,10.0,0.0
320,20.0,30.0,20.0,75.0,5.0,10.0,0.0
321,45.0,50.0,36.0,75.0,10.0,10.0,0.0
322,55.0,40.0,50.0,75.0,10.0,10.0,0.0
323,45.0,35.0,25.0,75.0,5.0,10.0,0.0
324,55.0,35.0,20.0,75.0,5.0,15.0,0.0
325,40.0,67.0,46.0,90.0,5.0,10.0,0.0
326,55.0,45.0,30.0,75.0,5.0,10.0,0.0
327,45.0,90.0,65.0,75.0,5.0,10.0,0.0
328,55.0,60.0,30.0,75.0,10.0,10.0,0.0
329,30.0,42.0,20.0,75.0,10.0,10.0,0.0
330,40.0,65.0,50.0,75.0,10.0,10.0,0.0
331,25.0,35.0,30.0,75.0,5.0,10.0,5.0
332,30.0,30.0,26.0,150.0,10.0,10.0,0.0
333,20.0,45.0,45.0,75.0,15.0,5.0,0.0
334,35.0,55.0,26.0,90.0,20.0,10.0,15.0
335,20.0,35.0,30.0,75.0,15.0,10.0,0.0
336,20.0,30.0,30.0,75.0,15.0,10.0,0.0
337,30.0,15.0,30.0,75.0,5.0,15.0,0.0
338,20.0,15.0,30.0,90.0,5.0,10.0,0.0
339,45.0,40.0,20.0,75.0,10.0,10.0,0.0
340,30.0,35.0,20.0,75.0,5.0,10.0,0.0
